"initial_alias","converted_alias","name","description","namespace"
"PGA4","ENSG00000229183","PGA4","pepsinogen A4 [Source:HGNC Symbol;Acc:HGNC:8886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGA4","ENSG00000229859","PGA3","pepsinogen A3 [Source:HGNC Symbol;Acc:HGNC:8885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RFPL4AL1","ENSG00000229292","RFPL4AL1","ret finger protein like 4A like 1 [Source:HGNC Symbol;Acc:HGNC:45147]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ORM1","ENSG00000229314","ORM1","orosomucoid 1 [Source:HGNC Symbol;Acc:HGNC:8498]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPINK8","ENSG00000229453","SPINK8","serine peptidase inhibitor Kazal type 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33160]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PATL2","ENSG00000229474","PATL2","PAT1 homolog 2 [Source:HGNC Symbol;Acc:HGNC:33630]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NKX1-2","ENSG00000229544","NKX1-2","NK1 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:31652]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPY8","ENSG00000229549","TSPY8","testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRAMEF25","ENSG00000229571","PRAMEF25","PRAME family member 25 [Source:HGNC Symbol;Acc:HGNC:49179]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRAC2","ENSG00000229637","PRAC2","PRAC2 small nuclear protein [Source:HGNC Symbol;Acc:HGNC:30143]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRR20C","ENSG00000229665","PRR20C","proline rich 20C [Source:HGNC Symbol;Acc:HGNC:37221]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF492","ENSG00000229676","ZNF492","zinc finger protein 492 [Source:HGNC Symbol;Acc:HGNC:23707]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF688","ENSG00000229809","ZNF688","zinc finger protein 688 [Source:HGNC Symbol;Acc:HGNC:30489]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PET100","ENSG00000229833","PET100","PET100 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40038]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGA3","ENSG00000229183","PGA4","pepsinogen A4 [Source:HGNC Symbol;Acc:HGNC:8886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PGA3","ENSG00000229859","PGA3","pepsinogen A3 [Source:HGNC Symbol;Acc:HGNC:8885]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM90A26","ENSG00000229924","FAM90A26","family with sequence similarity 90 member A26 [Source:HGNC Symbol;Acc:HGNC:43746]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRPS1L1","ENSG00000229937","PRPS1L1","phosphoribosyl pyrophosphate synthetase 1 like 1 [Source:HGNC Symbol;Acc:HGNC:9463]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IQCF3","ENSG00000229972","IQCF3","IQ motif containing F3 [Source:HGNC Symbol;Acc:HGNC:31816]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POTEB2","ENSG00000230031","POTEB2","POTE ankyrin domain family member B2 [Source:HGNC Symbol;Acc:HGNC:48327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX53","ENSG00000230054","TEX53","testis expressed 53 [Source:HGNC Symbol;Acc:HGNC:53655]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD66","ENSG00000230062","ANKRD66","ankyrin repeat domain 66 [Source:HGNC Symbol;Acc:HGNC:44669]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACBD6","ENSG00000230124","ACBD6","acyl-CoA binding domain containing 6 [Source:HGNC Symbol;Acc:HGNC:23339]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR4F3","ENSG00000230178","OR4F3","olfactory receptor family 4 subfamily F member 3 [Source:HGNC Symbol;Acc:HGNC:8300]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR4F3","ENSG00000284662","OR4F16","olfactory receptor family 4 subfamily F member 16 [Source:HGNC Symbol;Acc:HGNC:15079]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR4F3","ENSG00000284733","OR4F29","olfactory receptor family 4 subfamily F member 29 [Source:HGNC Symbol;Acc:HGNC:31275]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5H6","ENSG00000230301","OR5H6","olfactory receptor family 5 subfamily H member 6 [Source:HGNC Symbol;Acc:HGNC:14767]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD18B","ENSG00000230453","ANKRD18B","ankyrin repeat domain 18B [Source:HGNC Symbol;Acc:HGNC:23644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MBD3L2","ENSG00000230522","MBD3L2","methyl-CpG binding domain protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:18532]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP17L1","ENSG00000223443","USP17L2","ubiquitin specific peptidase 17 like family member 2 [Source:HGNC Symbol;Acc:HGNC:34434]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP17L1","ENSG00000230549","USP17L1","ubiquitin specific peptidase 17 like family member 1 [Source:HGNC Symbol;Acc:HGNC:37182]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC192","ENSG00000230561","CCDC192","coiled-coil domain containing 192 [Source:HGNC Symbol;Acc:HGNC:49566]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX48","ENSG00000230601","TEX48","testis expressed 48 [Source:HGNC Symbol;Acc:HGNC:52393]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRB4","ENSG00000230657","PRB4","proline rich protein BstNI subfamily 4 [Source:HGNC Symbol;Acc:HGNC:9340]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SETSIP","ENSG00000230667","SETSIP","SET like protein [Source:HGNC Symbol;Acc:HGNC:42937]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ANKRD63","ENSG00000230778","ANKRD63","ankyrin repeat domain 63 [Source:HGNC Symbol;Acc:HGNC:40027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YY2","ENSG00000230797","YY2","YY2 transcription factor [Source:HGNC Symbol;Acc:HGNC:31684]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"STMND1","ENSG00000230873","STMND1","stathmin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:44668]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSBP1","ENSG00000230989","HSBP1","heat shock factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:5203]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTAP21-3","ENSG00000231068","KRTAP21-3","keratin associated protein 21-3 [Source:HGNC Symbol;Acc:HGNC:34216]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5H1","ENSG00000231192","OR5H1","olfactory receptor family 5 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:8346]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLSCR5","ENSG00000231213","PLSCR5","phospholipid scramblase family member 5 [Source:HGNC Symbol;Acc:HGNC:19952]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFAP97D1","ENSG00000231256","CFAP97D1","CFAP97 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:37241]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SBK3","ENSG00000231274","SBK3","SH3 domain binding kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:44121]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DPA1","ENSG00000231389","HLA-DPA1","major histocompatibility complex, class II, DP alpha 1 [Source:HGNC Symbol;Acc:HGNC:4938]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP17L10","ENSG00000231396","USP17L10","ubiquitin specific peptidase 17 like family member 10 [Source:HGNC Symbol;Acc:HGNC:44438]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS18","ENSG00000231500","RPS18","ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPAN19","ENSG00000231738","TSPAN19","tetraspanin 19 [Source:HGNC Symbol;Acc:HGNC:31886]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AKAIN1","ENSG00000231824","AKAIN1","A-kinase anchor inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28285]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP21A2","ENSG00000231852","CYP21A2","cytochrome P450 family 21 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:2600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5K2","ENSG00000231861","OR5K2","olfactory receptor family 5 subfamily K member 2 [Source:HGNC Symbol;Acc:HGNC:14774]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRH1","ENSG00000111215","PRR4","proline rich 4 [Source:HGNC Symbol;Acc:HGNC:18020]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRH1","ENSG00000231887","PRH1","proline rich protein HaeIII subfamily 1 [Source:HGNC Symbol;Acc:HGNC:9366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSG1","ENSG00000231924","PSG1","pregnancy specific beta-1-glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:9514]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAPBP","ENSG00000231925","TAPBP","TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R2B","ENSG00000231989","PPP1R2B","PPP1R2 family member B [Source:HGNC Symbol;Acc:HGNC:16318]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZBED9","ENSG00000232040","ZBED9","zinc finger BED-type containing 9 [Source:HGNC Symbol;Acc:HGNC:13851]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM253","ENSG00000232070","TMEM253","transmembrane protein 253 [Source:HGNC Symbol;Acc:HGNC:32545]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMA7","ENSG00000232112","TMA7","translation machinery associated 7 homolog [Source:HGNC Symbol;Acc:HGNC:26932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TEX50","ENSG00000232113","TEX50","testis expressed 50 [Source:HGNC Symbol;Acc:HGNC:52382]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCTS1","ENSG00000232119","MCTS1","MCTS1 re-initiation and release factor [Source:HGNC Symbol;Acc:HGNC:23357]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DYTN","ENSG00000232125","DYTN","dystrotelin [Source:HGNC Symbol;Acc:HGNC:23279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTRNR2L4","None","None","None",""
"ASCL5","ENSG00000232237","ASCL5","achaete-scute family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:33169]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM114","ENSG00000232258","TMEM114","transmembrane protein 114 [Source:HGNC Symbol;Acc:HGNC:33227]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRTAP25-1","ENSG00000232263","KRTAP25-1","keratin associated protein 25-1 [Source:HGNC Symbol;Acc:HGNC:34003]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR52I1","ENSG00000232268","OR52I1","olfactory receptor family 52 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:15220]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5K1","ENSG00000232382","OR5K1","olfactory receptor family 5 subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:8349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMIM26","ENSG00000232388","SMIM26","small integral membrane protein 26 [Source:HGNC Symbol;Acc:HGNC:43430]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP17L13","ENSG00000232399","USP17L13","ubiquitin specific peptidase 17 like family member 13 [Source:HGNC Symbol;Acc:HGNC:44441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRAMEF6","ENSG00000232423","PRAMEF6","PRAME family member 6 [Source:HGNC Symbol;Acc:HGNC:30583]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AJM1","ENSG00000232434","AJM1","apical junction component 1 homolog [Source:HGNC Symbol;Acc:HGNC:37284]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-DQB2","ENSG00000232629","HLA-DQB2","major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GOLGA8N","ENSG00000232653","GOLGA8N","golgin A8 family member N [Source:HGNC Symbol;Acc:HGNC:44405]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNF","ENSG00000232810","TNF","tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PET117","ENSG00000232838","PET117","PET117 cytochrome c oxidase chaperone [Source:HGNC Symbol;Acc:HGNC:40045]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LYRM9","ENSG00000232859","LYRM9","LYR motif containing 9 [Source:HGNC Symbol;Acc:HGNC:27314]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEFB130A","ENSG00000232948","DEFB130A","defensin beta 130A [Source:HGNC Symbol;Acc:HGNC:18107]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHGR1","ENSG00000233041","PHGR1","proline, histidine and glycine rich 1 [Source:HGNC Symbol;Acc:HGNC:37226]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DEFB130B","ENSG00000233050","DEFB130B","defensin beta 130B [Source:HGNC Symbol;Acc:HGNC:39814]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ERVH48-1","ENSG00000233056","ERVH48-1","endogenous retrovirus group 48 member 1 [Source:HGNC Symbol;Acc:HGNC:17216]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAB6D","ENSG00000233087","RAB6D","RAB6D, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"USP17L11","ENSG00000233136","USP17L11","ubiquitin specific peptidase 17 like family member 11 [Source:HGNC Symbol;Acc:HGNC:44439]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RNF224","ENSG00000233198","RNF224","ring finger protein 224 [Source:HGNC Symbol;Acc:HGNC:41912]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPX1","ENSG00000233276","GPX1","glutathione peroxidase 1 [Source:HGNC Symbol;Acc:HGNC:4553]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR5H15","ENSG00000233412","OR5H15","olfactory receptor family 5 subfamily H member 15 [Source:HGNC Symbol;Acc:HGNC:31287]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BTBD18","ENSG00000233436","BTBD18","BTB domain containing 18 [Source:HGNC Symbol;Acc:HGNC:37214]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM238","ENSG00000233493","TMEM238","transmembrane protein 238 [Source:HGNC Symbol;Acc:HGNC:40042]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TWIST2","ENSG00000233608","TWIST2","twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PIRT","ENSG00000233670","PIRT","phosphoinositide interacting regulator of transient receptor potential channels [Source:HGNC Symbol;Acc:HGNC:37239]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRR23C","ENSG00000233701","PRR23C","proline rich 23C [Source:HGNC Symbol;Acc:HGNC:37173]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM49D2","ENSG00000233802","TRIM49D2","tripartite motif containing 49D2 [Source:HGNC Symbol;Acc:HGNC:37217]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"TSPY4","ENSG00000233803","TSPY4","testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA13","ENSG00000233816","IFNA13","interferon alpha 13 [Source:HGNC Symbol;Acc:HGNC:5419]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"H2BC15","ENSG00000233822","H2BC15","H2B clustered histone 15 [Source:HGNC Symbol;Acc:HGNC:4749]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POTEB","ENSG00000230031","POTEB2","POTE ankyrin domain family member B2 [Source:HGNC Symbol;Acc:HGNC:48327]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POTEB","ENSG00000233917","POTEB","POTE ankyrin domain family member B [Source:HGNC Symbol;Acc:HGNC:33734]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POTEB","ENSG00000278522","POTEB3","POTE ankyrin domain family member B3 [Source:HGNC Symbol;Acc:HGNC:51240]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS28","ENSG00000233927","RPS28","ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CTXN2","ENSG00000233932","CTXN2","cortexin 2 [Source:HGNC Symbol;Acc:HGNC:31109]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UQCRHL","ENSG00000233954","UQCRHL","ubiquinol-cytochrome c reductase hinge protein like [Source:HGNC Symbol;Acc:HGNC:51714]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAGE2","ENSG00000234068","PAGE2","PAGE family member 2 [Source:HGNC Symbol;Acc:HGNC:31804]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM26","ENSG00000234127","TRIM26","tripartite motif containing 26 [Source:HGNC Symbol;Acc:HGNC:12962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C16ORF82","ENSG00000234186","C16orf82","chromosome 16 open reading frame 82 [Source:HGNC Symbol;Acc:HGNC:30755]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM229A","ENSG00000234224","TMEM229A","transmembrane protein 229A [Source:HGNC Symbol;Acc:HGNC:37279]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRR20E","ENSG00000234278","PRR20E","proline rich 20E [Source:HGNC Symbol;Acc:HGNC:37223]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF879","ENSG00000234284","ZNF879","zinc finger protein 879 [Source:HGNC Symbol;Acc:HGNC:37273]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"H2BS1","None","None","None",""
"CCDC188","ENSG00000234409","CCDC188","coiled-coil domain containing 188 [Source:HGNC Symbol;Acc:HGNC:51899]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBMY1A1","ENSG00000234414","RBMY1A1","RNA binding motif protein Y-linked family 1 member A1 [Source:HGNC Symbol;Acc:HGNC:9912]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KBTBD13","ENSG00000234438","KBTBD13","kelch repeat and BTB domain containing 13 [Source:HGNC Symbol;Acc:HGNC:37227]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF736","ENSG00000234444","ZNF736","zinc finger protein 736 [Source:HGNC Symbol;Acc:HGNC:32467]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PINLYP","ENSG00000234465","PINLYP","phospholipase A2 inhibitor and LY6/PLAUR domain containing [Source:HGNC Symbol;Acc:HGNC:44206]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CLDN34","ENSG00000234469","CLDN34","claudin 34 [Source:HGNC Symbol;Acc:HGNC:51259]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C5ORF58","ENSG00000234511","C5orf58","chromosome 5 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:37272]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM133B","ENSG00000234545","FAM133B","family with sequence similarity 133 member B [Source:HGNC Symbol;Acc:HGNC:28629]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR10G8","ENSG00000234560","OR10G8","olfactory receptor family 10 subfamily G member 8 [Source:HGNC Symbol;Acc:HGNC:14845]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCIDAS","ENSG00000234602","MCIDAS","multiciliate differentiation and DNA synthesis associated cell cycle protein [Source:HGNC Symbol;Acc:HGNC:40050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"JRK","ENSG00000234616","JRK","Jrk helix-turn-helix protein [Source:HGNC Symbol;Acc:HGNC:6199]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NPIPB2","ENSG00000234719","NPIPB2","nuclear pore complex interacting protein family member B2 [Source:HGNC Symbol;Acc:HGNC:37451]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HLA-B","ENSG00000234745","HLA-B","major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C11ORF94","ENSG00000234776","C11orf94","chromosome 11 open reading frame 94 [Source:HGNC Symbol;Acc:HGNC:37213]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IQCM","ENSG00000234828","IQCM","IQ motif containing M [Source:HGNC Symbol;Acc:HGNC:53443]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IFNA17","ENSG00000234829","IFNA17","interferon alpha 17 [Source:HGNC Symbol;Acc:HGNC:5422]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"APOC2","ENSG00000234906","APOC2","apolipoprotein C2 [Source:HGNC Symbol;Acc:HGNC:609]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SHISA8","ENSG00000234965","SHISA8","shisa family member 8 [Source:HGNC Symbol;Acc:HGNC:18351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C19ORF81","ENSG00000235034","C19orf81","chromosome 19 open reading frame 81 [Source:HGNC Symbol;Acc:HGNC:40041]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ANKRD65","ENSG00000235098","ANKRD65","ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BRD3OS","ENSG00000235106","BRD3OS","BRD3 opposite strand [Source:HGNC Symbol;Acc:HGNC:24742]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZSCAN31","ENSG00000235109","ZSCAN31","zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM237A","ENSG00000235118","FAM237A","family with sequence similarity 237 member A [Source:HGNC Symbol;Acc:HGNC:52388]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C12ORF75","ENSG00000235162","C12orf75","chromosome 12 open reading frame 75 [Source:HGNC Symbol;Acc:HGNC:35164]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SMIM1","ENSG00000235169","SMIM1","small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol;Acc:HGNC:44204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HGH1","ENSG00000235173","HGH1","HGH1 homolog [Source:HGNC Symbol;Acc:HGNC:24161]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R3E","ENSG00000235194","PPP1R3E","protein phosphatase 1 regulatory subunit 3E [Source:HGNC Symbol;Acc:HGNC:14943]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM4E","ENSG00000235268","KDM4E","lysine demethylase 4E [Source:HGNC Symbol;Acc:HGNC:37098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPEL1","ENSG00000235376","RPEL1","ribulose-5-phosphate-3-epimerase like 1 [Source:HGNC Symbol;Acc:HGNC:45241]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPAAR","ENSG00000235387","SPAAR","small regulatory polypeptide of amino acid response [Source:HGNC Symbol;Acc:HGNC:27244]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
